timestamp,coin,price
2026-09-05T00:24:23.418487,Bitcoin,79595
2026-09-05T00:24:23.418487,Ethereum,2449.63
2026-09-05T00:24:23.418487,Tether,1.0
2026-09-05T00:24:23.418487,BNB,718.2
2026-09-05T00:24:23.418487,XRP,1.4
2026-09-05T00:24:23.418487,USDC,0.999927
2026-09-05T00:24:23.418487,Solana,101.55
2026-09-05T00:24:23.418487,TRON,0.331935
2026-09-05T00:24:23.418487,Figure Heloc,1.032
2026-09-05T00:24:23.418487,Hyperliquid,85.12
2026-09-05T00:27:08.030162,Bitcoin,79615
2026-09-05T00:27:08.030162,Ethereum,2450.04
2026-09-05T00:27:08.030162,Tether,1.0
2026-09-05T00:27:08.030162,BNB,718.41
2026-09-05T00:27:08.030162,XRP,1.4
2026-09-05T00:27:08.030162,USDC,0.999926
2026-09-05T00:27:08.030162,Solana,101.59
2026-09-05T00:27:08.030162,TRON,0.331918
2026-09-05T00:27:08.030162,Figure Heloc,1.032
2026-09-05T00:27:08.030162,Hyperliquid,85.12
